,Name,Data Types,Default Task,Attribute Types,Number of Instances,Number of Attributes,Year,Sample size
1,Abalone,Multivariate,Classification,"Categorical, Integer, Real",4177,8.0,1995.0,Large
2,Adult,Multivariate,Classification,"Categorical, Integer",48842,14.0,1996.0,Extra Large
3,Annealing,Multivariate,Classification,"Categorical, Integer, Real",798,38.0,,Medium
4,Anonymous Microsoft Web Data,,Recommender Systems,Categorical,37711,294.0,1998.0,Extra Large
5,Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279.0,1998.0,Medium
6,Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6000,7.0,1992.0,Large
7,Audiology (Original),Multivariate,Classification,Categorical,226,,1987.0,Medium
8,Audiology (Standardized),Multivariate,Classification,Categorical,226,69.0,1992.0,Medium
9,Auto MPG,Multivariate,Regression,"Categorical, Real",398,8.0,1993.0,Medium
10,Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,26.0,1987.0,Medium
11,Badges,"Univariate, Text",Classification,,294,1.0,1994.0,Medium
12,Balance Scale,Multivariate,Classification,Categorical,625,4.0,1994.0,Medium
13,Balloons,Multivariate,Classification,Categorical,16,4.0,,Small
14,Breast Cancer,Multivariate,Classification,Categorical,286,9.0,1988.0,Medium
15,Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,10.0,1992.0,Medium
16,Breast Cancer Wisconsin (Prognostic),Multivariate,Regression,Real,198,34.0,1995.0,Medium
17,Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,32.0,1995.0,Medium
18,Pittsburgh Bridges,Multivariate,Classification,"Categorical, Integer",108,13.0,1990.0,Medium
19,Car Evaluation,Multivariate,Classification,Categorical,1728,6.0,1997.0,Large
20,Census Income,Multivariate,Classification,"Categorical, Integer",48842,14.0,1996.0,Extra Large
22,Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,3196,36.0,1989.0,Large
23,Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",28056,6.0,1994.0,Extra Large
25,Bach Chorales,"Univariate, Time-Series",Other/Unknown,"Categorical, Integer",100,6.0,,Small
26,Connect-4,"Multivariate, Spatial",Classification,Categorical,67557,42.0,1995.0,Extra Large
27,Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15.0,,Medium
28,Japanese Credit Screening,"Multivariate, Domain-Theory",Classification,"Categorical, Real, Integer",125,,1992.0,Medium
29,Computer Hardware,Multivariate,Regression,Integer,209,9.0,1987.0,Medium
30,Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473,9.0,1997.0,Large
31,Covertype,Multivariate,Classification,"Categorical, Integer",581012,54.0,1998.0,Extra Large
32,Cylinder Bands,Multivariate,Classification,"Categorical, Integer, Real",512,39.0,1995.0,Medium
33,Dermatology,Multivariate,Classification,"Categorical, Integer",366,33.0,1998.0,Medium
38,Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132,12.0,1989.0,Medium
39,Ecoli,Multivariate,Classification,Real,336,8.0,1996.0,Medium
40,Flags,Multivariate,Classification,"Categorical, Integer",194,30.0,1990.0,Medium
41,Function Finding,,Other/Unknown,Real,352,,1990.0,Medium
42,Glass Identification,Multivariate,Classification,Real,214,10.0,1987.0,Medium
43,Haberman's Survival,Multivariate,Classification,Integer,306,3.0,1999.0,Medium
44,Hayes-Roth,Multivariate,Classification,Categorical,160,5.0,1989.0,Medium
45,Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,75.0,1988.0,Medium
46,Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19.0,1988.0,Medium
47,Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27.0,1989.0,Medium
49,Image Segmentation,Multivariate,Classification,Real,2310,19.0,1990.0,Large
50,Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",3279,1558.0,1998.0,Large
51,Ionosphere,Multivariate,Classification,"Integer, Real",351,34.0,1989.0,Medium
52,Iris,Multivariate,Classification,Real,150,4.0,1988.0,Medium
53,ISOLET,Multivariate,Classification,Real,7797,617.0,1994.0,Large
54,Kinship,Relational,Other/Unknown,Categorical,104,12.0,1990.0,Medium
55,Labor Relations,Multivariate,Other/Unknown,"Categorical, Integer, Real",57,16.0,1988.0,Small
57,Lenses,Multivariate,Classification,Categorical,24,4.0,1990.0,Small
58,Letter Recognition,Multivariate,Classification,Integer,20000,16.0,1991.0,Extra Large
59,Liver Disorders,Multivariate,Other/Unknown,"Categorical, Integer, Real",345,7.0,1990.0,Medium
61,Lung Cancer,Multivariate,Classification,Integer,32,56.0,1992.0,Small
62,Lymphography,Multivariate,Classification,Categorical,148,18.0,1988.0,Medium
63,Mechanical Analysis,Multivariate,Classification,"Categorical, Integer, Real",209,8.0,1990.0,Medium
64,Meta-data,Multivariate,Classification,"Categorical, Integer, Real",528,22.0,1996.0,Medium
66,Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,106,58.0,1990.0,Medium
67,Molecular Biology (Protein Secondary Structure),Sequential,Classification,Categorical,128,,,Medium
68,Molecular Biology (Splice-junction Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,3190,61.0,1992.0,Large
69,MONK's Problems,Multivariate,Classification,Categorical,432,7.0,1992.0,Medium
70,Moral Reasoner,Domain-Theory,Other/Unknown,,202,,1994.0,Medium
71,Multiple Features,Multivariate,Classification,"Integer, Real",2000,649.0,,Large
72,Mushroom,Multivariate,Classification,Categorical,8124,22.0,1987.0,Large
73,Musk (Version 1),Multivariate,Classification,Integer,476,168.0,1994.0,Medium
74,Musk (Version 2),Multivariate,Classification,Integer,6598,168.0,1994.0,Large
75,Nursery,Multivariate,Classification,Categorical,12960,8.0,1997.0,Extra Large
77,Page Blocks Classification,Multivariate,Classification,"Integer, Real",5473,10.0,1995.0,Large
78,Optical Recognition of Handwritten Digits,Multivariate,Classification,Integer,5620,64.0,1998.0,Large
79,Pen-Based Recognition of Handwritten Digits,Multivariate,Classification,Integer,10992,16.0,1998.0,Extra Large
80,Post-Operative Patient,Multivariate,Classification,"Categorical, Integer",90,8.0,1993.0,Small
81,Primary Tumor,Multivariate,Classification,Categorical,339,17.0,1988.0,Medium
85,Servo,Multivariate,Regression,"Categorical, Integer",167,4.0,1993.0,Medium
86,Shuttle Landing Control,Multivariate,Classification,Categorical,15,6.0,1988.0,Small
87,Solar Flare,Multivariate,Regression,Categorical,1389,10.0,1989.0,Large
88,Soybean (Large),Multivariate,Classification,Categorical,307,35.0,1988.0,Medium
89,Soybean (Small),Multivariate,Classification,Categorical,47,35.0,1987.0,Small
90,Challenger USA Space Shuttle O-Ring,Multivariate,Regression,Integer,23,4.0,1993.0,Small
91,Low Resolution Spectrometer,Multivariate,Classification,"Integer, Real",531,102.0,1988.0,Medium
92,Spambase,Multivariate,Classification,"Integer, Real",4601,57.0,1999.0,Large
93,SPECT Heart,Multivariate,Classification,Categorical,267,22.0,2001.0,Medium
94,SPECTF Heart,Multivariate,Classification,Integer,267,44.0,2001.0,Medium
95,Sponge,Multivariate,Clustering,"Categorical, Integer",76,45.0,,Small
97,Student Loan Relational,Domain-Theory,Other/Unknown,,1000,,1993.0,Medium
98,Teaching Assistant Evaluation,Multivariate,Classification,"Categorical, Integer",151,5.0,1997.0,Medium
99,Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958,9.0,1991.0,Medium
100,Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",7200,21.0,1987.0,Large
101,Trains,Multivariate,Classification,Categorical,10,32.0,1994.0,Small
102,University,Multivariate,Classification,"Categorical, Integer",285,17.0,1988.0,Medium
103,Congressional Voting Records,Multivariate,Classification,Categorical,435,16.0,1987.0,Medium
104,Water Treatment Plant,Multivariate,Clustering,"Integer, Real",527,38.0,1993.0,Medium
105,Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5000,21.0,1988.0,Large
106,Waveform Database Generator (Version 2),"Multivariate, Data-Generator",Classification,Real,5000,40.0,1988.0,Large
107,Wine,Multivariate,Classification,"Integer, Real",178,13.0,1991.0,Medium
108,Yeast,Multivariate,Classification,Real,1484,8.0,1996.0,Large
109,Zoo,Multivariate,Classification,"Categorical, Integer",101,17.0,1990.0,Medium
111,Twenty Newsgroups,Text,Other/Unknown,,20000,,1999.0,Extra Large
112,Australian Sign Language signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650,15.0,1999.0,Large
113,Australian Sign Language signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565,22.0,2002.0,Large
114,US Census Data (1990),Multivariate,Clustering,Categorical,2458285,68.0,,Extra Large
115,Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",299285,40.0,2000.0,Extra Large
116,Coil 1999 Competition Data,Multivariate,Other/Unknown,"Categorical, Real",340,17.0,1999.0,Medium
117,Corel Image Features,Multivariate,Other/Unknown,Real,68040,89.0,1999.0,Extra Large
119,EEG Database,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer, Real",122,4.0,1999.0,Medium
120,El Nino,Spatio-temporal,Other/Unknown,"Integer, Real",178080,12.0,1999.0,Extra Large
121,Entree Chicago Recommendation Data,"Transactional, Sequential",Recommender Systems,Categorical,50672,,2000.0,Extra Large
122,CMU Face Images,Image,Classification,Integer,640,,1999.0,Medium
123,Insurance Company Benchmark (COIL 2000),Multivariate,Regression,"Categorical, Integer",9000,86.0,2000.0,Large
124,Internet Usage Data,Multivariate,Other/Unknown,"Categorical, Integer",10104,72.0,1999.0,Extra Large
125,IPUMS Census Database,Multivariate,Other/Unknown,"Categorical, Integer",256932,61.0,1999.0,Extra Large
126,Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640,12.0,,Medium
127,KDD Cup 1998 Data,Multivariate,Regression,"Categorical, Integer",191779,481.0,1998.0,Extra Large
128,KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000,42.0,1999.0,Extra Large
130,Movie,"Multivariate, Relational",Other/Unknown,,10000,,1999.0,Large
131,MSNBC.com Anonymous Web Data,Sequential,Other/Unknown,Categorical,989818,,,Extra Large
132,NSF Research Award Abstracts 1990-2003,Text,Other/Unknown,,129000,,2003.0,Extra Large
134,Pseudo Periodic Synthetic Time Series,"Univariate, Time-Series",Other/Unknown,,100000,,1999.0,Extra Large
135,Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,21578,5.0,1997.0,Extra Large
136,Robot Execution Failures,"Multivariate, Time-Series",Classification,Integer,463,90.0,1999.0,Medium
137,Synthetic Control Chart Time Series,Time-Series,Clustering,Real,600,,1999.0,Medium
138,Syskill and Webert Web Page Ratings,"Multivariate, Text",Classification,Categorical,332,5.0,1998.0,Medium
141,Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690,14.0,,Medium
142,Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1000,20.0,1994.0,Medium
143,Statlog (Heart),Multivariate,Classification,"Categorical, Real",270,13.0,,Medium
144,Statlog (Landsat Satellite),Multivariate,Classification,Integer,6435,36.0,1993.0,Large
145,Statlog (Image Segmentation),Multivariate,Classification,Real,2310,19.0,1990.0,Large
146,Statlog (Shuttle),Multivariate,Classification,Integer,58000,9.0,,Extra Large
147,Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946,18.0,,Medium
148,Connectionist Bench (Nettalk Corpus),Multivariate,Other/Unknown,Categorical,20008,4.0,,Extra Large
149,"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60.0,,Medium
150,Connectionist Bench (Vowel Recognition - Deterding Data),,Classification,Real,528,10.0,,Medium
153,Cloud,Multivariate,Other/Unknown,Real,1024,10.0,1989.0,Large
154,CalIt2 Building People Counts,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer",10080,4.0,2006.0,Extra Large
155,Dodgers Loop Sensor,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer",50400,3.0,2006.0,Extra Large
156,Poker Hand,Multivariate,Classification,"Categorical, Integer",1025010,11.0,2007.0,Extra Large
157,MAGIC Gamma Telescope,Multivariate,Classification,Real,19020,11.0,2007.0,Extra Large
158,UJI Pen Characters,"Multivariate, Sequential",Classification,Integer,1364,,2007.0,Large
159,Mammographic Mass,Multivariate,Classification,Integer,961,6.0,2007.0,Medium
160,Forest Fires,Multivariate,Regression,Real,517,13.0,2008.0,Medium
161,Reuters Transcribed Subset,Text,Classification,,200,,2008.0,Medium
162,Bag of Words,Text,Clustering,Integer,8000000,100000.0,2008.0,Extra Large
163,Concrete Compressive Strength,Multivariate,Regression,Real,1030,9.0,2007.0,Large
164,Hill-Valley,Sequential,Classification,Real,606,101.0,2008.0,Medium
165,Arcene,Multivariate,Classification,Real,900,10000.0,2008.0,Medium
166,Dexter,Multivariate,Classification,Integer,2600,20000.0,2008.0,Large
167,Dorothea,Multivariate,Classification,Integer,1950,100000.0,2008.0,Large
168,Gisette,Multivariate,Classification,Integer,13500,5000.0,2008.0,Extra Large
169,Madelon,Multivariate,Classification,Real,4400,500.0,2008.0,Large
170,Ozone Level Detection,"Multivariate, Sequential, Time-Series",Classification,Real,2536,73.0,2008.0,Large
171,Abscisic Acid Signaling Network,Multivariate,Causal Discovery,Integer,300,43.0,2008.0,Medium
172,Parkinsons,Multivariate,Classification,Real,197,23.0,2008.0,Medium
173,Character Trajectories,Time-Series,Clustering,Real,2858,3.0,2008.0,Large
174,Blood Transfusion Service Center,Multivariate,Classification,Real,748,5.0,2008.0,Medium
175,UJI Pen Characters (Version 2),"Multivariate, Sequential",Classification,Integer,11640,,2009.0,Extra Large
176,Semeion Handwritten Digit,Multivariate,Classification,Integer,1593,256.0,2008.0,Large
177,SECOM,Multivariate,Causal Discovery,Real,1567,591.0,2008.0,Large
178,Plants,Multivariate,Clustering,Categorical,22632,70.0,2008.0,Extra Large
179,Libras Movement,"Multivariate, Sequential",Clustering,Real,360,91.0,2009.0,Medium
180,Concrete Slump Test,Multivariate,Regression,Real,103,10.0,2009.0,Medium
181,Communities and Crime,Multivariate,Regression,Real,1994,128.0,2009.0,Large
182,Acute Inflammations,Multivariate,Classification,"Categorical, Integer",120,6.0,2009.0,Medium
183,Wine Quality,Multivariate,Regression,Real,4898,12.0,2009.0,Large
184,URL Reputation,"Multivariate, Time-Series",Classification,"Integer, Real",2396130,3231961.0,2009.0,Extra Large
185,p53 Mutants,Multivariate,Classification,Real,16772,5409.0,2010.0,Extra Large
186,Parkinsons Telemonitoring,Multivariate,Regression,"Integer, Real",5875,26.0,2009.0,Large
187,Demospongiae,Multivariate,Classification,Integer,503,,2010.0,Medium
188,Opinosis Opinion ⁄ Review,Text,Other/Unknown,,51,,2010.0,Small
189,Breast Tissue,Multivariate,Classification,Real,106,10.0,2010.0,Medium
190,Cardiotocography,Multivariate,Classification,Real,2126,23.0,2010.0,Large
191,Wall-Following Robot Navigation Data,"Multivariate, Sequential",Classification,Real,5456,24.0,2010.0,Large
192,Spoken Arabic Digit,"Multivariate, Time-Series",Classification,Real,8800,13.0,2010.0,Large
193,Localization Data for Person Activity,"Univariate, Sequential, Time-Series",Classification,Real,164860,8.0,2010.0,Extra Large
195,Steel Plates Faults,Multivariate,Classification,"Integer, Real",1941,27.0,2010.0,Large
196,MiniBooNE particle identification,Multivariate,Classification,Real,130065,50.0,2010.0,Extra Large
197,YearPredictionMSD,Multivariate,Regression,Real,515345,90.0,2011.0,Extra Large
198,PEMS-SF,"Multivariate, Time-Series",Classification,Real,440,138672.0,2011.0,Medium
200,Relative location of CT slices on axial axis,Domain-Theory,Regression,Real,53500,386.0,2011.0,Extra Large
201,Online Handwritten Assamese Characters Dataset,"Multivariate, Sequential",Classification,Integer,8235,,2011.0,Large
203,Record Linkage Comparison Patterns,Multivariate,Classification,Real,5749132,12.0,2011.0,Extra Large
204,Communities and Crime Unnormalized,Multivariate,Regression,Real,2215,147.0,2011.0,Large
205,Vertebral Column,Multivariate,Classification,Real,310,6.0,2011.0,Medium
206,EMG Physical Action Data Set,Time-Series,Classification,Real,10000,8.0,2011.0,Large
207,Vicon Physical Action Data Set,Time-Series,Classification,Real,3000,27.0,2011.0,Large
208,Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory",Classification,Real,1500,10000.0,2011.0,Large
209,Amazon Access Samples,"Time-Series, Domain-Theory",Clustering,,30000,20000.0,2011.0,Extra Large
210,Reuter_50_50,"Multivariate, Text, Domain-Theory",Clustering,Real,2500,10000.0,2011.0,Large
211,Farm Ads,Text,Classification,,4143,54877.0,2011.0,Large
212,DBWorld e-mails,Text,Classification,,64,4702.0,2011.0,Small
213,KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text",Clustering,"Integer, Real",53414,24.0,2011.0,Extra Large
214,KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text",Clustering,"Integer, Real",65554,29.0,2011.0,Extra Large
215,Bank Marketing,Multivariate,Classification,Real,45211,17.0,2012.0,Extra Large
216,YouTube Comedy Slam Preference Data,Text,Classification,,1138562,3.0,2012.0,Extra Large
217,Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,13910,128.0,2012.0,Extra Large
218,ILPD (Indian Liver Patient Dataset),Multivariate,Classification,"Integer, Real",583,10.0,2012.0,Medium
219,OPPORTUNITY Activity Recognition,"Multivariate, Time-Series",Classification,Real,2551,242.0,2012.0,Large
220,Nomao,Univariate,Classification,Real,34465,120.0,2012.0,Extra Large
221,SMS Spam Collection,"Multivariate, Text, Domain-Theory",Clustering,Real,5574,,2012.0,Large
222,Skin Segmentation,Univariate,Classification,Real,245057,4.0,2012.0,Extra Large
223,Planning Relax,Univariate,Classification,Real,182,13.0,2012.0,Medium
224,PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series",Classification,Real,3850505,52.0,2012.0,Extra Large
225,Restaurant & consumer data,Multivariate,Other/Unknown,,138,47.0,2012.0,Medium
226,CNAE-9,"Multivariate, Text",Classification,Integer,1080,857.0,2012.0,Large
227,Individual household electric power consumption,"Multivariate, Time-Series",Clustering,Real,2075259,9.0,2012.0,Extra Large
228,seeds,Multivariate,Clustering,Real,210,7.0,2012.0,Medium
229,Northix,"Multivariate, Univariate, Text",Classification,"Integer, Real",115,200.0,2012.0,Medium
230,QtyT40I10D100K,Sequential,Other/Unknown,Integer,3960456,4.0,2012.0,Extra Large
232,Human Activity Recognition Using Smartphones,"Multivariate, Time-Series",Clustering,,10299,561.0,2012.0,Extra Large
233,One-hundred plant species leaves data set,,Classification,Real,1600,64.0,2012.0,Large
234,Energy efficiency,Multivariate,Regression,"Integer, Real",768,8.0,2012.0,Medium
235,Yacht Hydrodynamics,Multivariate,Regression,Real,308,7.0,2013.0,Medium
236,Fertility,Multivariate,Regression,Real,100,10.0,2013.0,Small
237,Daphnet Freezing of Gait,"Multivariate, Time-Series",Classification,Real,237,9.0,2013.0,Medium
238,"3D Road Network (North Jutland, Denmark)","Sequential, Text",Clustering,Real,434874,4.0,2013.0,Extra Large
239,ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series",Regression,Real,536,8.0,2013.0,Medium
